ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
10257,"Joseph ""Gunnar"" Bentz",M,20,196,84,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10337,"Richard ""Ricky"" Berens",M,20,188,93,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10337,"Richard ""Ricky"" Berens",M,24,188,93,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10674,Alain Andr Louis Edmond Bernard,M,25,196,90,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Gold
10674,Alain Andr Louis Edmond Bernard,M,29,196,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
11057,Jean-Christophe Bette,M,22,186,72,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
11559,Thomas Bimis,M,29,169,69,Greece,GRE,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Springboard,Gold
11725,Pter Biros,M,24,196,102,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
11725,Pter Biros,M,28,196,102,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
11982,"Kimberly A. ""Kim"" Black",F,21,168,60,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
12095,Henrik Blakskjr,M,29,194,90,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,Gold
12399,Pernille Blume,F,22,170,58,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Gold
12741,Aleksandr Viktorovich Bogdanovich,M,26,191,97,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
12742,Andrey Viktorovich Bogdanovich,M,20,193,87,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
13120,Hamish Byron Bond,M,26,189,89,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
13752,Miho Bokovi,M,29,196,96,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
13801,Silvia Bosurgi,F,25,164,59,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
13969,David Alasdair Boudia,M,23,175,73,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,Gold
14211,Marit Bouwmeester,F,28,177,68,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy,Gold
14930,Sebastian Brendel,M,24,192,92,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
14930,Sebastian Brendel,M,28,192,92,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
14930,Sebastian Brendel,M,28,192,92,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
14949,Scott Michael Brennan,M,25,193,89,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
15182,Matthew Brittain,M,25,186,70,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
15847,Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
15847,Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
15847,Olga Aleksandrovna Brusnikina,F,25,169,55,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
16359,Ivan Buljubai,M,24,198,108,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
16645,Peter Burling,M,25,186,82,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Gold
16773,Tom Burton,M,26,180,81,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
16843,Andro Bulje,M,26,200,115,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
17095,James Andrew Byrnes,M,25,200,93,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
17156,"Frederike Jacobie ""Mieke"" Cabout",F,22,182,70,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
17258,Erin Jane Cafaro (-McKenzie),F,25,175,73,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
17258,Erin Jane Cafaro (-McKenzie),F,29,175,73,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
17348,David Cal Figueroa,M,21,183,86,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
17494,Ashley John Callus,M,21,188,85,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
17684,Bronte Campbell,F,22,179,58,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
17687,Cate Natalie Campbell,F,20,186,67,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
17687,Cate Natalie Campbell,F,24,186,67,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
18005,Cao Yuan,M,21,160,42,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Gold
18500,Cecilia Carranza Saroli,F,29,164,63,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
18563,Lisa Carrington,F,23,168,63,New Zealand,NZL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
18563,Lisa Carrington,F,27,168,63,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
18974,Naomi Sandra Castle,F,26,180,72,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
20080,Yuriy Volodymyrovych Cheban,M,26,185,93,Ukraine,UKR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Gold
20150,Chen Aisen,M,20,168,60,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,Gold
20150,Chen Aisen,M,20,168,60,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Gold
20258,Chen Ruolin,F,23,160,47,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Gold
20707,Vlada Aleksandrovna Chigiryova,F,21,162,46,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
20835,Aurica Chiri-Brscu,F,29,181,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
21544,Csar Augusto Cielo Filho,M,21,195,80,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,Gold
21817,"Caroline Archer ""KK"" Clark",F,26,188,72,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
21865,"Joseph ""Joe"" Clarke",M,23,182,76,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
21900,Scott Tyler Clary,M,23,185,84,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Backstroke,Gold
21966,Jacob Clear,M,27,185,86,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
22267,Nathan Cohen,M,26,184,87,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
22662,"John ""Jack"" Conger",M,21,193,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
22832,"Edward ""Ed"" Coode",M,29,193,96,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Gold
22966,Iztok op,M,28,190,89,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,Gold
22973,"Katherine Sarah ""Kat"" Copeland",F,21,172,58,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,Gold
23040,Kevin Cordes,M,22,196,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
23426,Natalie Anne Coughlin (-Hall),F,21,173,63,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
23426,Natalie Anne Coughlin (-Hall),F,21,173,63,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,Gold
23426,Natalie Anne Coughlin (-Hall),F,25,173,63,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,Gold
23519,Alicia Jayne Coutts,F,24,176,69,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
23549,Kirsty Leigh Coventry (-Seward),F,20,176,64,Zimbabwe,ZIM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Gold
23549,Kirsty Leigh Coventry (-Seward),F,24,176,64,Zimbabwe,ZIM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Backstroke,Gold
23636,James Edward Cracknell,M,28,192,100,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
23657,"Kameryn Louise ""Kami"" Craig",F,25,181,88,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
23657,"Kameryn Louise ""Kami"" Craig",F,29,181,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
23703,Sal Craviotto Rivero,M,23,192,98,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
23729,David William Crawshay,M,28,191,89,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
23868,Ian Lowell Crocker,M,21,193,86,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
23868,Ian Lowell Crocker,M,25,193,86,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
24125,Tamara Csipes,F,26,176,78,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
24247,Milo uk,M,25,191,91,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
25098,Georgeta Damian-Andrunache,F,24,178,75,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxless Pairs,Gold
25098,Georgeta Damian-Andrunache,F,24,178,75,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
25098,Georgeta Damian-Andrunache,F,28,178,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxless Pairs,Gold
25098,Georgeta Damian-Andrunache,F,28,178,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
25543,Lara Shiree Davenport,F,24,174,63,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
25609,Caryn Davies,F,26,193,82,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
25762,Anastasiya Semyonovna Davydova,F,21,170,54,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
25762,Anastasiya Semyonovna Davydova,F,21,170,54,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
25762,Anastasiya Semyonovna Davydova,F,25,170,54,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
25762,Anastasiya Semyonovna Davydova,F,25,170,54,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
25762,Anastasiya Semyonovna Davydova,F,29,170,54,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
25975,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,Gold
25975,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,Gold
25975,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,Gold
26832,Matt Deakin,M,24,193,90,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
27081,Inge Dekker,F,22,183,67,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
27636,Simon John Dennis,M,24,200,95,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
28086,Tania Di Mario,F,25,168,62,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
28483,Tina Dietze,F,24,172,68,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
28734,"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
28734,"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Gold
28781,Andreas Dittmer,M,28,183,83,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
29021,Nika Dobud,M,26,199,118,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
29145,"Thomas Fitzgerald ""Tom"" Dolan",M,24,201,86,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,Gold
29229,Rudolf Dombi,M,25,180,79,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
29317,Claire Christine Donahue,F,23,170,63,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
29484,Xavier Elle Dorfman,M,27,182,71,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
29663,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
29663,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
29663,Natasa Douchev-Janics,F,26,174,68,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
29709,Rowley Douglas,M,23,165,58,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
29762,Nataliya Viktorivna Dovhodko,F,21,186,78,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Gold
30028,Annika Elise Madsen Dries,F,20,185,89,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
30565,Maria Magdalena Dumitrache,F,23,187,83,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
30808,Scott David Durant,M,28,196,96,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
31012,Conor James Dwyer,M,23,196,89,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
31012,Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
31021,Aleksandr Igorevich Dyachenko,M,22,180,85,Russia,RUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
31301,Tmara Echegoyen Domnguez,F,28,174,70,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
32404,Amanda Elmore,F,25,180,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
32407,Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
33282,Tony Estanguet,M,22,185,75,France,FRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
33282,Tony Estanguet,M,26,185,75,France,FRA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
33520,Meike Evers,F,23,185,76,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
33520,Meike Evers,F,27,185,76,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
33522,Caroline Frances Evers-Swindell (-Meyer),F,25,178,76,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33522,Caroline Frances Evers-Swindell (-Meyer),F,29,178,76,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
33523,Georgina Emma Buchanan Evers-Swindell (-Earl),F,25,178,78,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
33523,Georgina Emma Buchanan Evers-Swindell (-Earl),F,29,178,78,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
34233,Rachel Fattal,F,22,173,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
34415,Sergey Anatolyevich Fedorovtsev,M,24,195,90,Russia,RUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
34467,"James ""Jimmy"" Feigen",M,26,196,98,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
34654,Emilie Fer,F,29,170,63,France,FRA,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
34887,Xabier Fernndez Gaztaaga,M,27,181,81,Spain,ESP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,Gold
34914,Lyndon Ferns,M,20,187,87,South Africa,RSA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
35328,Filip Filipovi,M,29,196,101,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
35453,Domenico Fioravanti,M,23,179,76,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,Gold
35453,Domenico Fioravanti,M,23,179,76,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,Gold
35507,Fanny Fischer,F,21,175,63,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
35888,Rodica Maria Florea-erban,F,21,183,73,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
